age,health,Health1,Health2,Health3,Health4,Health5,Death
72,1,0.52004305,0.29720236,0.12372377,0.02746312,0.01895218,0.01261551
72,2,0.04676309,0.61548617,0.26162208,0.05235946,0.01209256,0.01167664
72,3,0.01159095,0.12946677,0.65711392,0.15665093,0.02492973,0.02024770
72,4,0.00716536,0.02670324,0.14166147,0.67608881,0.10595558,0.04242554
72,5,0.00140914,0.01169163,0.03283281,0.19025255,0.66607228,0.09774160
72,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
73,1,0.51367124,0.29805936,0.12428577,0.02850116,0.02130463,0.01417784
73,2,0.04534920,0.60994076,0.26361177,0.05504254,0.01294291,0.01311283
73,3,0.01177177,0.12817561,0.65196262,0.16027185,0.02601936,0.02179879
73,4,0.00707975,0.02723241,0.13981974,0.67324590,0.10767004,0.04495216
73,5,0.00136704,0.01230609,0.03379778,0.18804345,0.66148257,0.10300307
73,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
74,1,0.50706592,0.29873526,0.12477365,0.02956028,0.02393438,0.01593052
74,2,0.04395668,0.60415152,0.26548749,0.05783497,0.01384631,0.01472303
74,3,0.01195170,0.12685792,0.64665081,0.16392554,0.02714818,0.02346586
74,4,0.00699357,0.02776569,0.13797036,0.67026142,0.10938718,0.04762177
74,5,0.00132565,0.01294749,0.03477675,0.18578324,0.65665317,0.10851371
74,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
75,1,0.50020679,0.29921006,0.12517868,0.03063800,0.02687053,0.01789594
75,2,0.04258483,0.59810694,0.26723792,0.06073757,0.01480509,0.01652765
75,3,0.01213045,0.12551308,0.64117440,0.16760817,0.02831678,0.02525712
75,4,0.00690678,0.02830267,0.13611293,0.66713088,0.11110518,0.05044155
75,5,0.00128495,0.01361644,0.03576861,0.18347091,0.65157747,0.11428161
75,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
76,1,0.49307219,0.29946196,0.12549130,0.03173131,0.03014436,0.02009888
76,2,0.04123294,0.59179487,0.26885089,0.06375050,0.01582150,0.01854930
76,3,0.01230770,0.12414048,0.63552925,0.17131556,0.02952570,0.02718131
76,4,0.00681938,0.02884285,0.13424709,0.66384967,0.11282208,0.05341893
76,5,0.00124495,0.01431349,0.03677216,0.18110557,0.64624912,0.12031472
76,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
77,1,0.48563909,0.29946726,0.12570110,0.03283657,0.03378921,0.02256678
77,2,0.03990031,0.58520244,0.27031333,0.06687325,0.01689766,0.02081300
77,3,0.01248313,0.12273950,0.62971124,0.17504307,0.03077535,0.02924770
77,4,0.00673133,0.02938571,0.13237246,0.66041315,0.11453577,0.05656159
77,5,0.00120562,0.01503912,0.03778604,0.17868641,0.64066203,0.12662079
77,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
78,1,0.47788323,0.29920032,0.12579679,0.03394945,0.03784035,0.02532986
78,2,0.03858625,0.57831614,0.27161121,0.07010444,0.01803557,0.02334639
78,3,0.01265639,0.12130956,0.62371621,0.17878569,0.03206606,0.03146610
78,4,0.00664262,0.02993068,0.13048867,0.65681658,0.11624402,0.05987743
78,5,0.00116696,0.01579376,0.03880874,0.17621274,0.63481048,0.13320733
78,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
79,1,0.46977929,0.29863361,0.12576620,0.03506481,0.04233466,0.02842143
79,2,0.03729006,0.57112180,0.27272953,0.07344171,0.01923701,0.02617990
79,3,0.01282710,0.11985003,0.61754004,0.18253791,0.03339801,0.03384690
79,4,0.00655323,0.03047715,0.12859538,0.65305520,0.11794444,0.06337460
79,5,0.00112895,0.01657774,0.03983865,0.17368401,0.62868912,0.14008154
79,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
80,1,0.46130106,0.29773769,0.12559630,0.03617669,0.04731029,0.03187798
80,2,0.03601106,0.56360463,0.27365225,0.07688162,0.02050347,0.02934697
80,3,0.01299488,0.11836036,0.61117864,0.18629379,0.03477127,0.03640106
80,4,0.00646314,0.03102446,0.12669225,0.64912419,0.11963450,0.06706146
80,5,0.00109160,0.01739131,0.04087396,0.17109982,0.62229308,0.14725023
80,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
81,1,0.45242177,0.29648137,0.12527321,0.03727817,0.05280603,0.03573945
81,2,0.03474860,0.55574932,0.27436231,0.08041939,0.02183614,0.03288424
81,3,0.01315931,0.11683996,0.60462798,0.19004685,0.03618575,0.03914015
81,4,0.00637233,0.03157191,0.12477896,0.64501873,0.12131152,0.07094655
81,5,0.00105490,0.01823461,0.04191276,0.16845992,0.61561804,0.15471977
81,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
82,1,0.44311452,0.29483188,0.12478231,0.03836134,0.05886064,0.04004932
82,2,0.03350205,0.54754008,0.27484161,0.08404882,0.02323576,0.03683168
82,3,0.01331995,0.11528829,0.59788408,0.19379013,0.03764118,0.04207636
82,4,0.00628079,0.03211873,0.12285521,0.64073400,0.12297266,0.07503862
82,5,0.00101883,0.01910769,0.04295295,0.16576426,0.60866026,0.16249602
82,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
83,1,0.43335275,0.29275517,0.12410832,0.03941723,0.06551179,0.04485475
83,2,0.03227080,0.53896080,0.27507099,0.08776205,0.02470258,0.04123278
83,3,0.01347634,0.11370484,0.59094310,0.19751613,0.03913712,0.04522247
83,4,0.00618849,0.03266411,0.12092073,0.63626520,0.12461492,0.07934655
83,5,0.00098341,0.02001044,0.04399230,0.16301295,0.60141668,0.17058422
83,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
84,1,0.42311092,0.29021629,0.12323552,0.04043575,0.07279491,0.05020661
84,2,0.03105429,0.52999521,0.27503033,0.09154938,0.02623621,0.04613458
84,3,0.01362800,0.11208910,0.58380132,0.20121679,0.04067291,0.04859188
84,4,0.00609543,0.03320718,0.11897528,0.63160760,0.12623514,0.08387937
84,5,0.00094862,0.02094264,0.04502842,0.16020633,0.59388501,0.17898898
84,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
85,1,0.41236525,0.28717999,0.12214791,0.04140569,0.08074168,0.05615948
85,2,0.02985200,0.52062704,0.27469858,0.09539905,0.02783556,0.05158776
85,3,0.01377442,0.11044065,0.57645519,0.20488347,0.04224766,0.05219861
85,4,0.00600159,0.03374703,0.11701864,0.62675652,0.12783002,0.08864621
85,5,0.00091446,0.02190392,0.04605877,0.15734497,0.58606376,0.18771412
85,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
86,1,0.40109468,0.28361132,0.12082956,0.04231473,0.08937818,0.06277153
86,2,0.02866348,0.51084034,0.27405387,0.09929707,0.02949868,0.05764656
86,3,0.01391507,0.10875905,0.56890137,0.20850698,0.04386024,0.05605728
86,4,0.00590695,0.03428268,0.11505063,0.62170742,0.12939608,0.09365624
86,5,0.00088093,0.02289375,0.04708067,0.15442966,0.57795234,0.19676265
86,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
87,1,0.38928189,0.27947658,0.11926495,0.04314948,0.09872286,0.07010424
87,2,0.02748836,0.50061977,0.27307365,0.10322695,0.03122263,0.06436865
87,3,0.01404940,0.10704398,0.56113678,0.21207750,0.04550925,0.06018309
87,4,0.00581152,0.03481310,0.11307113,0.61645587,0.13092969,0.09891870
87,5,0.00084803,0.02391143,0.04809129,0.15146144,0.56955114,0.20613667
87,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
88,1,0.37691457,0.27474430,0.11743941,0.04389560,0.10878409,0.07822203
88,2,0.02632634,0.48995094,0.27173491,0.10716959,0.03300336,0.07181486
88,3,0.01417684,0.10529512,0.55315864,0.21558462,0.04719300,0.06459177
88,4,0.00571528,0.03533721,0.11108004,0.61099763,0.13242706,0.10444278
88,5,0.00081576,0.02495609,0.04908768,0.14844163,0.56086156,0.21583727
88,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
89,1,0.36398668,0.26938648,0.11533968,0.04453796,0.11955751,0.08719169
89,2,0.02517724,0.47882094,0.27001446,0.11110306,0.03483556,0.08004875
89,3,0.01429680,0.10351227,0.54496450,0.21901736,0.04890948,0.06929959
89,4,0.00561823,0.03585387,0.10907734,0.60532869,0.13388427,0.11023760
89,5,0.00078413,0.02602665,0.05006676,0.14537182,0.55188615,0.22586450
89,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
90,1,0.35049991,0.26337998,0.11295449,0.04506086,0.13102319,0.09708157
90,2,0.02404099,0.46721880,0.26788922,0.11500244,0.03671251,0.08913603
90,3,0.01440865,0.10169527,0.53655235,0.22236409,0.05065635,0.07432329
90,4,0.00552037,0.03636188,0.10706305,0.59944528,0.13529723,0.11631218
90,5,0.00075313,0.02712186,0.05102533,0.14225387,0.54262859,0.23621723
90,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
91,1,0.33646512,0.25670803,0.11027522,0.04544837,0.14314271,0.10796055
91,2,0.02291766,0.45513614,0.26533669,0.11883981,0.03862595,0.09914375
91,3,0.01451178,0.09984409,0.52792062,0.22561263,0.05243090,0.07967998
91,4,0.00542169,0.03686000,0.10503726,0.59334395,0.13666174,0.12267535
