age,health,Health1,Health2,Health3,Health4,Health5,Death
68,3,0.01899743,0.13788809,0.64413083,0.15813853,0.01735573,0.02348940
68,4,0.00985749,0.03543916,0.15897436,0.64653769,0.10158449,0.04760681
68,5,0.00361860,0.02099893,0.01773861,0.21330287,0.63175166,0.11258934
68,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
69,1,0.57910084,0.27242460,0.07652907,0.04437981,0.01263380,0.01493188
69,2,0.07562867,0.62067057,0.22121901,0.06233437,0.00790171,0.01224566
69,3,0.01901630,0.13685578,0.64114547,0.15863867,0.01848469,0.02585909
69,4,0.00971431,0.03648209,0.15673016,0.64481700,0.10124783,0.05100861
69,5,0.00402583,0.01996134,0.01831669,0.20991190,0.62985269,0.11793156
69,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
70,1,0.57195720,0.27495677,0.07710577,0.04584723,0.01403641,0.01609663
70,2,0.07462154,0.61737593,0.21974563,0.06574831,0.00904881,0.01345978
70,3,0.01902876,0.13578526,0.63795810,0.15908657,0.01968043,0.02846088
70,4,0.00957019,0.03754383,0.15446873,0.64289736,0.10088035,0.05463954
70,5,0.00447688,0.01896650,0.01890512,0.20648208,0.62767745,0.12349198
70,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
71,1,0.56466637,0.27739689,0.07765445,0.04734343,0.01558823,0.01735062
71,2,0.07358951,0.61377931,0.21816851,0.06931315,0.01035705,0.01479248
71,3,0.01903422,0.13467359,0.63455325,0.15947709,0.02094582,0.03131603
71,4,0.00942505,0.03862354,0.15218898,0.64076888,0.10048056,0.05851299
71,5,0.00497614,0.01801283,0.01950334,0.20301357,0.62521796,0.12927616
71,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
72,1,0.55722163,0.27973473,0.07817240,0.04886682,0.01730396,0.01870045
72,2,0.07253056,0.60985726,0.21647975,0.07302980,0.01184769,0.01625495
72,3,0.01903208,0.13351766,0.63091443,0.15980471,0.02228367,0.03444745
72,4,0.00927882,0.03972024,0.14988980,0.63842138,0.10004692,0.06264284
72,5,0.00552840,0.01709882,0.02011074,0.19950652,0.62246609,0.13528944
72,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
73,1,0.54961588,0.28195932,0.07865672,0.05041545,0.01919948,0.02015315
73,2,0.07144253,0.60558465,0.21467091,0.07689804,0.01354447,0.01785939
73,3,0.01902168,0.13231420,0.62702420,0.16006350,0.02369668,0.03787975
73,4,0.00913144,0.04083278,0.14757010,0.63584438,0.09957787,0.06704342
73,5,0.00613884,0.01622300,0.02072659,0.19596109,0.61941352,0.14153696
73,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
74,1,0.54184167,0.28405887,0.07910429,0.05198704,0.02129193,0.02171619
74,2,0.07032317,0.60093468,0.21273301,0.08091633,0.01547377,0.01961905
74,3,0.01900232,0.13105976,0.62286413,0.16024711,0.02518740,0.04163929
74,4,0.00898285,0.04195988,0.14522880,0.63302719,0.09907180,0.07172948
74,5,0.00681311,0.01538394,0.02135006,0.19237746,0.61605183,0.14802360
74,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
75,1,0.53389124,0.28602073,0.07951179,0.05357890,0.02359979,0.02339756
75,2,0.06917008,0.59587883,0.21065648,0.08508154,0.01766479,0.02154827
75,3,0.01897326,0.12975073,0.61841482,0.16034877,0.02675819,0.04575421
75,4,0.00883298,0.04310005,0.14286487,0.62995889,0.09852707,0.07671615
75,5,0.00755730,0.01458028,0.02198024,0.18875582,0.61237244,0.15475392
75,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
76,1,0.52575649,0.28783137,0.07987566,0.05518790,0.02614282,0.02520576
76,2,0.06798079,0.59038691,0.20843126,0.08938870,0.02014972,0.02366262
76,3,0.01893372,0.12838338,0.61365598,0.16036131,0.02841115,0.05025447
76,4,0.00868177,0.04425164,0.14047730,0.62662840,0.09794204,0.08201885
76,5,0.00837797,0.01381070,0.02261606,0.18509638,0.60836671,0.16173218
76,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
77,1,0.51742907,0.28947634,0.08019212,0.05681047,0.02894218,0.02714982
77,2,0.06675273,0.58442711,0.20604675,0.09383065,0.02296384,0.02597893
77,3,0.01888286,0.12695381,0.60856645,0.16027711,0.03014801,0.05517176
77,4,0.00852917,0.04541279,0.13806516,0.62302456,0.09731503,0.08765329
77,5,0.00928221,0.01307392,0.02325637,0.18139939,0.60402592,0.16896219
77,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
78,1,0.50890043,0.29094027,0.08045718,0.05844248,0.03202033,0.02923932
78,2,0.06548325,0.57796616,0.20349188,0.09839778,0.02614558,0.02851536
78,3,0.01881981,0.12545803,0.60312433,0.16008817,0.03197013,0.06053953
78,4,0.00837512,0.04658144,0.13562757,0.61913618,0.09664438,0.09363532
78,5,0.01027762,0.01236871,0.02389985,0.17766514,0.59934129,0.17644739
78,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
79,1,0.50016186,0.29220682,0.08066657,0.06007927,0.03540105,0.03148442
79,2,0.06416968,0.57096949,0.20075522,0.10307759,0.02973655,0.03129147
79,3,0.01874368,0.12389198,0.59730708,0.15978608,0.03387834,0.06639285
79,4,0.00821957,0.04775532,0.13316373,0.61495209,0.09592844,0.09998085
79,5,0.01137233,0.01169388,0.02454508,0.17389396,0.59430406,0.18419069
79,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
80,1,0.49120459,0.29325874,0.08081585,0.06171558,0.03910935,0.03389590
80,2,0.06280934,0.56340155,0.19782503,0.10785441,0.03378138,0.03432830
80,3,0.01865352,0.12225153,0.59109172,0.15936209,0.03587287,0.07276826
80,4,0.00806249,0.04893192,0.13067293,0.61046128,0.09516558,0.10670579
80,5,0.01257502,0.01104830,0.02519047,0.17008623,0.58890548,0.19219450
80,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
81,1,0.48201991,0.29407783,0.08090031,0.06334548,0.04317136,0.03648512
81,2,0.06139956,0.55522615,0.19468943,0.11270892,0.03832755,0.03764840
81,3,0.01854838,0.12053256,0.58445501,0.15880717,0.03795328,0.07970361
81,4,0.00790384,0.05010854,0.12815460,0.60565294,0.09435422,0.11382586
81,5,0.01389492,0.01043087,0.02583425,0.16624242,0.58313689,0.20046064
81,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
82,1,0.47259926,0.29464503,0.08091505,0.06496239,0.04761418,0.03926408
82,2,0.05993780,0.54640701,0.19133657,0.11761782,0.04342493,0.04127588
82,3,0.01842725,0.11873102,0.57737369,0.15811202,0.04011826,0.08723776
82,4,0.00774359,0.05128220,0.12560828,0.60051663,0.09349281,0.12135648
82,5,0.01534180,0.00984052,0.02647453,0.16236306,0.57698977,0.20899033
82,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
83,1,0.46293445,0.29494045,0.08085500,0.06655899,0.05246569,0.04224543
83,2,0.05842165,0.53690836,0.18775485,0.12255344,0.04912525,0.04523644
83,3,0.01828916,0.11684294,0.56982485,0.15726720,0.04236560,0.09541025
83,4,0.00758174,0.05244972,0.12303367,0.59504235,0.09257990,0.12931262
83,5,0.01692593,0.00927624,0.02710921,0.15844877,0.57045576,0.21778409
83,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
84,1,0.45301774,0.29494349,0.08071489,0.06812723,0.05775421,0.04544244
84,2,0.05684898,0.52669578,0.18393319,0.12748341,0.05548124,0.04955740
84,3,0.01813311,0.11486456,0.56178621,0.15626321,0.04469201,0.10426090
84,4,0.00741826,0.05360768,0.12043062,0.58922068,0.09161414,0.13770861
84,5,0.01865811,0.00873704,0.02773603,0.15450026,0.56352679,0.22684177
84,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
85,1,0.44284214,0.29463295,0.08048936,0.06965828,0.06350823,0.04886905
85,2,0.05521797,0.51573712,0.17986138,0.13237035,0.06254556,0.05426762
85,3,0.01795812,0.11279239,0.55323661,0.15509059,0.04709303,0.11382926
85,4,0.00725317,0.05475242,0.11779920,0.58304295,0.09059428,0.14655798
85,5,0.02054957,0.00822199,0.02835252,0.15051840,0.55619510,0.23616242
85,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
