age,health,Health1,Health2,Health3,Health4,Health5,Death
74,2,0.07146100,0.67293290,0.20573076,0.02813222,0.00717763,0.01456550
74,3,0.01198290,0.14026016,0.64912309,0.15039866,0.01968031,0.02855488
74,4,0.00627929,0.02354734,0.17955726,0.61328306,0.11672445,0.06060860
74,5,0.00163572,0.00625531,0.03050776,0.16294667,0.62273414,0.17592040
74,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
75,1,0.65008815,0.25348043,0.05640708,0.01854241,0.00655354,0.01492839
75,2,0.07013579,0.66862818,0.20805222,0.02894783,0.00792650,0.01630947
75,3,0.01190037,0.13841677,0.64527363,0.15279787,0.02021860,0.03139277
75,4,0.00631083,0.02353703,0.17724839,0.61006721,0.11804874,0.06478779
75,5,0.00151491,0.00631981,0.03069235,0.15981444,0.61599671,0.18566178
75,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
76,1,0.64593169,0.25338095,0.05766144,0.01941160,0.00688831,0.01672601
76,2,0.06880817,0.66409056,0.21031740,0.02977541,0.00875008,0.01825838
76,3,0.01181384,0.13654490,0.64119951,0.15517546,0.02076360,0.03450269
76,4,0.00634030,0.02351842,0.17490745,0.60665401,0.11934591,0.06923391
76,5,0.00140206,0.00638056,0.03085676,0.15663430,0.60891191,0.19581441
76,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
77,1,0.64158951,0.25319773,0.05892420,0.02031480,0.00723778,0.01873597
77,2,0.06747689,0.65930248,0.21251659,0.03061360,0.00965510,0.02043534
77,3,0.01172308,0.13464245,0.63688674,0.15752465,0.02131444,0.03790863
77,4,0.00636752,0.02349106,0.17253307,0.60303498,0.12061235,0.07396102
77,5,0.00129668,0.00643729,0.03099982,0.15340744,0.60147726,0.20638152
77,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
78,1,0.63704675,0.25292342,0.06019291,0.02125236,0.00760225,0.02098231
78,2,0.06614064,0.65424495,0.21463904,0.03146076,0.01064879,0.02286582
78,3,0.01162782,0.13270722,0.63232051,0.15983801,0.02187013,0.04163630
78,4,0.00639235,0.02345449,0.17012391,0.59920152,0.12184423,0.07898350
78,5,0.00119833,0.00648968,0.03112038,0.15013531,0.59369154,0.21736475
78,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
79,1,0.63228733,0.25255002,0.06146474,0.02222445,0.00798192,0.02349153
79,2,0.06479803,0.64889745,0.21667292,0.03231499,0.01173880,0.02557782
79,3,0.01152779,0.13073694,0.62748526,0.16210739,0.02242952,0.04571309
79,4,0.00641460,0.02340825,0.16767867,0.59514496,0.12303754,0.08431598
79,5,0.00110658,0.00653746,0.03121733,0.14681972,0.58555490,0.22876400
79,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
80,1,0.62729391,0.25206886,0.06273649,0.02323102,0.00837696,0.02629276
80,2,0.06344758,0.64323791,0.21860517,0.03317407,0.01293323,0.02860205
80,3,0.01142270,0.12872925,0.62236468,0.16432389,0.02299131,0.05016817
80,4,0.00643411,0.02335185,0.16519609,0.59085660,0.12418804,0.08997331
80,5,0.00102105,0.00658034,0.03128960,0.14346279,0.57706893,0.24057729
80,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
81,1,0.62204782,0.25147052,0.06400450,0.02427178,0.00878742,0.02941796
81,2,0.06208775,0.63724266,0.22042145,0.03403542,0.01424058,0.03197214
81,3,0.01131226,0.12668173,0.61694175,0.16647783,0.02355404,0.05503239
81,4,0.00645069,0.02328481,0.16267497,0.58632777,0.12529130,0.09597045
81,5,0.00094135,0.00661804,0.03133616,0.14006697,0.56823683,0.25280066
81,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
82,1,0.61652903,0.25074486,0.06526462,0.02534615,0.00921326,0.03290208
82,2,0.06071695,0.63088646,0.22210608,0.03489607,0.01566974,0.03572470
82,3,0.01119617,0.12459191,0.61119887,0.16855873,0.02411604,0.06033828
82,4,0.00646417,0.02320664,0.16011421,0.58154989,0.12634273,0.10232238
82,5,0.00086713,0.00665028,0.03135607,0.13663509,0.55906343,0.26542801
82,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
83,1,0.61071616,0.24988092,0.06651219,0.02645322,0.00965432,0.03678319
83,2,0.05933353,0.62414249,0.22364191,0.03575265,0.01722987,0.03989954
83,3,0.01107410,0.12245733,0.60511787,0.17055528,0.02467549,0.06611993
83,4,0.00647434,0.02311685,0.15751277,0.57651454,0.12733750,0.10904400
83,5,0.00079806,0.00667681,0.03134845,0.13317030,0.54955533,0.27845105
83,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
84,1,0.60458643,0.24886698,0.06774196,0.02759168,0.01011027,0.04110267
84,2,0.05793579,0.61698247,0.22501035,0.03660130,0.01893036,0.04453973
84,3,0.01094573,0.12027552,0.59868021,0.17245531,0.02523034,0.07241290
84,4,0.00648101,0.02301494,0.15486976,0.57121356,0.12827067,0.11615005
84,5,0.00073383,0.00669740,0.03131252,0.12967612,0.53972095,0.29185918
84,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
85,1,0.59811578,0.24769049,0.06894809,0.02875979,0.01058064,0.04590521
