age,health,Health1,Health2,Health3,Death
94,2,0.10936330,0.56113870,0.18205988,0.14743812
94,3,0.02028328,0.08585281,0.63727974,0.25658416
94,0,0.00000000,0.00000000,0.00000000,1.00000000
95,1,0.59226244,0.20230371,0.10175981,0.10367404
95,2,0.10636044,0.54962000,0.18130882,0.16271074
95,3,0.01999094,0.08365398,0.62445821,0.27189687
95,0,0.00000000,0.00000000,0.00000000,1.00000000
96,1,0.57601121,0.20201367,0.10664825,0.11532686
96,2,0.10324236,0.53730902,0.18021581,0.17923282
96,3,0.01967854,0.08141104,0.61114074,0.28776968
96,0,0.00000000,0.00000000,0.00000000,1.00000000
97,1,0.55904936,0.20130760,0.11154078,0.12810226
97,2,0.10000935,0.52419230,0.17876057,0.19703778
97,3,0.01934632,0.07912720,0.59734450,0.30418199
97,0,0.00000000,0.00000000,0.00000000,1.00000000
98,1,0.54137900,0.20015737,0.11639803,0.14206560
98,2,0.09666349,0.51026560,0.17692522,0.21614569
98,3,0.01899466,0.07680615,0.58309087,0.32110833
98,0,0.00000000,0.00000000,0.00000000,1.00000000
99,1,0.52301097,0.19853686,0.12117576,0.15727642
99,2,0.09320884,0.49553544,0.17469502,0.23656069
99,3,0.01862410,0.07445208,0.56840550,0.33851832
99,0,0.00000000,0.00000000,0.00000000,1.00000000
